zipcode,avg
83325,3030.8333333333335
83334,5149.0
83336,14885.166666666666
83428,1247.5
83431,2521.0
83440,73392.0
83545,1652.1666666666667
83607,88835.33333333333
83610,2705.1666666666665
83617,48988.833333333336
83650,1176.8333333333333
83716,104692.83333333333
83851,4021.8333333333335
83873,5152.666666666667
60097,45098.833333333336
60106,77173.33333333333
60169,153978.5
60184,40808.5
60185,168360.66666666666
60202,231059.83333333334
60461,35586.666666666664
60470,3076.1666666666665
60477,207559.5
60479,4014.3333333333335
60545,52660.666666666664
60555,77441.5
60585,160584.83333333334
60620,164202.16666666666
60631,188664.16666666666
60803,85222.0
60913,7999.833333333333
60922,9498.5
60950,52368.333333333336
60954,21172.333333333332
60959,3826.6666666666665
60961,3798.3333333333335
61028,7968.833333333333
61061,32627.333333333332
61101,49192.333333333336
61107,163704.66666666666
61244,82775.16666666667
61254,78252.5
61273,16527.5
61274,1539.6666666666667
61283,6310.833333333333
61361,5260.5
61417,1219.5
61418,2635.3333333333335
61526,7326.5
61614,178127.83333333334
61720,1289.6666666666667
61729,8008.666666666667
61732,11582.333333333334
61802,78213.33333333333
61820,66955.0
61847,5809.166666666667
61864,9686.333333333334
61933,4042.0
62019,1589.0
62074,4458.333333333333
62082,8244.833333333334
62215,8930.333333333334
62246,32752.666666666668
62281,14712.333333333334
62297,1336.3333333333333
62324,4076.8333333333335
62343,2564.0
62347,9020.0
62356,1803.6666666666667
62365,2152.1666666666665
62439,28072.333333333332
62448,24538.5
62513,7328.5
62558,17141.833333333332
62563,41105.833333333336
62617,2462.1666666666665
62668,5810.0
62684,33158.166666666664
62704,235738.66666666666
62707,39812.833333333336
62712,82671.16666666667
62807,2873.8333333333335
62846,1815.1666666666667
62884,8979.5
62889,3007.8333333333335
62897,1629.3333333333333
62914,4917.833333333333
62928,826.0
46032,505567.3333333333
46056,9383.166666666666
46148,18340.166666666668
46180,3909.3333333333335
46224,91826.33333333333
46250,126426.83333333333
46290,4765.0
46320,23850.0
46322,115857.16666666667
46349,13559.333333333334
46374,4207.833333333333
46385,249535.16666666666
46511,19014.166666666668
46565,27311.5
46628,82456.33333333333
46701,27155.833333333332
46723,32295.5
46774,60439.833333333336
46798,5547.0
46802,24070.833333333332
46815,100789.33333333333
46991,5552.5
47043,15112.0
47163,5321.833333333333
47167,45661.5
